Manufacturer,Model,Vendor Analyte Name,Vendor Specimen Description,Vendor Result Description,LOINC Code,LOINC long Name,Vendor Analyte Code,Vendor Comment,Vendor Reference ID,Equipment UID,Equipment UID Type,Component,Property,Time,System,Scale,Method,Publication Version ID
SEASUN Biomaterials,U-TOP COVID-19 Detection Kit*,SARS-CoV-2 Result Interpretation,"anterior nasal swabs (697989009^Anterior nares swab^SCT)
mid-turbinate nasal swabs(871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swabs (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)
sputum (119334006^Sputum specimen^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT)","Positive (260373001^Detected^SCT)
Negative (260415000^Not detected^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200512
SEASUN Biomaterials,AQ-TOP COVID-19 Rapid Detection Kit*,SARS-CoV-2,"Nasal swab (445297001^Swab of internal nose^SCT)
Mid-turbinate nasal swabs(871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT)
BAL (258607008^Bronchoalveolar lavage fluid sample^SCT)
sputum (119334006^Sputum specimen^SCT)","Positive (260373001^Detected^SCT)
Negative (260415000^Not detected^SCT)
Invalid (455371000124106^Invalid result^SCT)",94559-2,SARS coronavirus 2 ORF1ab region [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 ORF1ab region,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200526
Seegene,Allplex 2019-nCoV Assay*,SARS-CoV-2 Result Interpretation,"anterior nasal swabs (697989009^Anterior nares swab^SCT)
mid-turbinate nasal swabs(871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swabs (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)
combo swab: 433801000124107^Nasopharyngeal and oropharyngeal swab^SCT?
sputum (119334006^Sputum specimen^SCT)","POSITIVE (260373001^Detected^SCT)
PRESUMPTIVE POSITIVE (720735008^Presumptive positive^SCT)
NEGATIVE (260415000^Not detected^SCT)
INVALID (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200512
Seegene Inc.,Allplex 2019-nCoV Assay*,SARS-CoV-2 Result Interpretation,"anterior nasal swabs (697989009^Anterior nares swab^SCT)
mid-turbinate nasal swabs(871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swabs (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)
combo swab: 433801000124107^Nasopharyngeal and oropharyngeal swab^SCT?
sputum (119334006^Sputum specimen^SCT)","POSITIVE (260373001^Detected^SCT)
PRESUMPTIVE POSITIVE (720735008^Presumptive positive^SCT)
NEGATIVE (260415000^Not detected^SCT)
INVALID (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200512
"Shenzhen New Industries Biomedical Engineering Co., Ltd.",MAGLUMI 2019-nCoV IgM/IgG*,SARS-CoV-2 IgG Result Interpretation,serum (119364003^Serum specimen^SCT),"SARS-CoV-2 IgG Non-Reactive (260385009^Negative^SCT)
SARS-CoV-2 IgG Reactive (10828004^Positive^SCT)",94563-4,SARS-CoV-2 (COVID-19) IgG Ab [Presence] in Serum or Plasma by Immunoassay,,Expect to be reported together with the IA result for IgM.,,,,SARS coronavirus 2 Ab.IgG,PrThr,Pt,Ser/Plas,Ord,IA,20200925
"Shenzhen New Industries Biomedical Engineering Co., Ltd.",MAGLUMI 2019-nCoV IgM/IgG*,SARS-CoV-2 IgM Result Interpretation,serum (119364003^Serum specimen^SCT),"SARS-CoV-2 IgM Non-Reactive (260385009^Negative^SCT)
SARS-CoV-2 IgM Reactive (10828004^Positive^SCT)",94564-2,SARS-CoV-2 (COVID-19) IgM Ab [Presence] in Serum or Plasma by Immunoassay,,Expect to be reported together with the IA result for IgG.,,,,SARS coronavirus 2 Ab.IgM,PrThr,Pt,Ser/Plas,Ord,IA,20200925
Sherlock BioSciences,Sherlock CRISPR SARS-CoV-2 Kit*,SARS-CoV-2 Result Interpretation,"nasal swab (445297001^Swab of internal nose^SCT)
nasopharyngeal (NP) swabs (258500001^Nasopharyngeal swab^SCT) 
oropharyngeal (OP) swabs (258529004^Throat swab^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT)
bronchoalveolar lavage(258607008^Bronchoalveolar lavage fluid sample^SCT)","Positive (260373001^Detected^SCT)
Negative (260415000^Not detected^SCT)
Invalid Result (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200519
"Sherlock BioSciences, Inc.",Sherlock CRISPR SARS-CoV-2 Kit*,SARS-CoV-2 Result Interpretation,"nasal swab (445297001^Swab of internal nose^SCT)
nasopharyngeal (NP) swabs (258500001^Nasopharyngeal swab^SCT) 
oropharyngeal (OP) swabs (258529004^Throat swab^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT)
bronchoalveolar lavage(258607008^Bronchoalveolar lavage fluid sample^SCT)","Positive (260373001^Detected^SCT)
Negative (260415000^Not detected^SCT)
Invalid Result (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200519
Siemens,Dimension EXL SARS-CoV-2 Total antibody assay (CV2T)*,SARS-CoV-2 Total Antibody,"serum (119361006^Plasma specimen^SCT)
plasma (119364003^Serum specimen^SCT)","positive (10828004^Positive^SCT)
negative (260385009^Negative^SCT)",94762-2,SARS-CoV-2 (COVID19) Ab [Presence] in Serum or Plasma by Immunoassay,,,,,,SARS coronavirus 2 Ab,PrThr,Pt,Ser/Plas,Ord,IA,20200617
Siemens,Dimension Vista SARS-CoV-2 Total Antibody assay (COV2T)*,SARS_CoV_2 Total antibody,"serum (119361006^Plasma specimen^SCT)
plasma (119364003^Serum specimen^SCT)","positive (10828004^Positive^SCT)
negative (260385009^Negative^SCT)",94762-2,SARS-CoV-2 (COVID19) Ab [Presence] in Serum or Plasma by Immunoassay,,,,,,SARS coronavirus 2 Ab,PrThr,Pt,Ser/Plas,Ord,IA,20200617
Siemens,ADVIA Centaur SARS-CoV-2 IgG (COV2G)*,IgG antibodies to SARS-CoV-2,"Serum (119364003^Serum specimen^SCT)
Plasma (119361006^Plasma specimen^SCT)","Nonreactive (260385009^Negative^SCT)
Reactive (10828004^Positive^SCT)",94563-4,SARS-CoV-2 (COVID-19) IgG Ab [Presence] in Serum or Plasma by Immunoassay,,SARS-CoV-2 S1 RBD antigen,,ADVIA Centaur XP system_Siemens,MNI,SARS coronavirus 2 Ab.IgG,PrThr,Pt,Ser/Plas,Ord,IA,20200818
Siemens,Dimension Vista SARS-CoV-2 Total Antibody assay (COV2T)*,SARS-CoV-2 Total antibody,"serum (119361006^Plasma specimen^SCT)
plasma (119364003^Serum specimen^SCT)","positive (10828004^Positive^SCT)
negative (260385009^Negative^SCT)",94762-2,SARS-CoV-2 (COVID19) Ab [Presence] in Serum or Plasma by Immunoassay,,,,,,SARS coronavirus 2 Ab,PrThr,Pt,Ser/Plas,Ord,IA,20200617
Siemens,ADVIA Centaur SARS-CoV-2 Total (COV2T)*,SARS-CoV-2 total antibody,"Serum (119364003^Serum specimen^SCT)
Plasma (119361006^Plasma specimen^SCT)","Specimen is non-reactive for anti-SARS-CoV-2 (260385009^Negative^SCT)
Specimen is reactive for anti-SARS-CoV-2 (10828004^Positive^SCT)",94762-2,SARS coronavirus 2 Ab [Presence] in Serum or Plasma by Immunoassay,,,,,,SARS coronavirus 2 Ab,PrThr,Pt,Ser/Plas,Ord,IA,20200602
Siemens,Atellica IM SARS-CoV-2 Total (COV2T)*,SARS-CoV-2 total antibody,"Serum (119364003^Serum specimen^SCT)
Plasma (119361006^Plasma specimen^SCT)","Specimen is non-reactive for anti-SARS-CoV-2 (260385009^Negative^SCT)
Specimen is reactive for anti-SARS-CoV-2 (10828004^Positive^SCT)",94762-2,SARS coronavirus 2 Ab [Presence] in Serum or Plasma by Immunoassay,,,,,,SARS coronavirus 2 Ab,PrThr,Pt,Ser/Plas,Ord,IA,20200602
Siemens,Atellica IM SARS-CoV-2 IgG (COV2G)*,IgG antibodies to SARS-CoV-2,"Serum (119364003^Serum specimen^SCT)
Plasma (119361006^Plasma specimen^SCT)","Nonreactive (260385009^Negative^SCT)
Reactive (10828004^Positive^SCT)",94563-4,SARS-CoV-2 (COVID-19) IgG Ab [Presence] in Serum or Plasma by Immunoassay,,SARS-CoV-2 S1 RBD antigen,,Atellica IM Analyzer_Siemens,MNI,SARS coronavirus 2 Ab.IgG,PrThr,Pt,Ser/Plas,Ord,IA,20200818
Siemens Healthcare Diagnostics,ADVIA Centaur SARS-CoV-2 Total (COV2T)*,SARS-CoV-2 total antibody,"Serum (119364003^Serum specimen^SCT)
Plasma (119361006^Plasma specimen^SCT)","Specimen is non-reactive for anti-SARS-CoV-2 (260385009^Negative^SCT)
Specimen is reactive for anti-SARS-CoV-2 (10828004^Positive^SCT)",94762-2,SARS coronavirus 2 Ab [Presence] in Serum or Plasma by Immunoassay,,,,,,SARS coronavirus 2 Ab,PrThr,Pt,Ser/Plas,Ord,IA,20200602
Siemens Healthcare Diagnostics,Atellica IM SARS-CoV-2 Total (COV2T)*,SARS-CoV-2 total antibody,"Serum (119364003^Serum specimen^SCT)
Plasma (119361006^Plasma specimen^SCT)","Specimen is non-reactive for anti-SARS-CoV-2 (260385009^Negative^SCT)
Specimen is reactive for anti-SARS-CoV-2 (10828004^Positive^SCT)",94762-2,SARS coronavirus 2 Ab [Presence] in Serum or Plasma by Immunoassay,,,,,,SARS coronavirus 2 Ab,PrThr,Pt,Ser/Plas,Ord,IA,20200602
Solaris Diagnostics,LDT: Solaris Multiplex SARS-CoV-2 Assay*,SARS-CoV-2 Result Interpretation,"nasopharyngeal swabs (258500001^Nasopharyngeal swab^SCT)
anterior nasal swabs (697989009^Anterior nares swab^SCT)
mid-turbinate nasal swabs (871810001^Mid-turbinate nasal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)
nasopharyngeal wash/aspirates (258467004^Nasopharyngeal washings^SCT or 258411007^Nasopharyngeal aspirate^SCT)
nasal aspirates (429931000124105^Nasal aspirate specimen^SCT)
bronchoalveolar lavage specimens (258607008^Bronchoalveolar lavage fluid sample^SCT)","SARS-CoV-2 detected (260373001^Detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)
SARS-CoV-2 not detected (260415000^Not Detected^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94533-7,SARS-CoV-2 (COVID-19) N gene [Presence] in Respiratory specimen by NAA with probe detection,,"Testing is limited to Solaris Diagnostics, located at 110 Dewey Drive Ste A, Nicholasville, KY 40356",,ABI QuantStudio 5 Real-Time PCR_Thermo Fisher,MNI,SARS coronavirus 2 N gene,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200818
Solaris Diagnostics,Solaris Multiplex SARS-CoV-2 Assay*,SARS-CoV-2 Result Interpretation,"nasopharyngeal swabs (258500001^Nasopharyngeal swab^SCT)
anterior nasal swabs (697989009^Anterior nares swab^SCT)
mid-turbinate nasal swabs (871810001^Mid-turbinate nasal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)
nasopharyngeal wash/aspirates (258467004^Nasopharyngeal washings^SCT or 258411007^Nasopharyngeal aspirate^SCT)
nasal aspirates (429931000124105^Nasal aspirate specimen^SCT)
bronchoalveolar lavage specimens (258607008^Bronchoalveolar lavage fluid sample^SCT)","SARS-CoV-2 detected (260373001^Detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)
SARS-CoV-2 not detected (260415000^Not Detected^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94533-7,SARS-CoV-2 (COVID-19) N gene [Presence] in Respiratory specimen by NAA with probe detection,,"Testing is limited to Solaris Diagnostics, located at 110 Dewey Drive Ste A, Nicholasville, KY 40356",,ABI QuantStudio 5 Real-Time PCR_Thermo Fisher,MNI,SARS coronavirus 2 N gene,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200818
SolGent,DiaPlexQ Novel Coronavirus (2019-nCoV) Detection ?Kit*,SARS-CoV-2 RNA,"Nasal swab (445297001^Swab of internal nose^SCT)
Mid-turbinate nasal swabs(871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT)
BAL (258607008^Bronchoalveolar lavage fluid sample^SCT)
sputum (119334006^Sputum specimen^SCT)","Positive ?(260373001^Detected^SCT)
Negative (260415000^Not detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)
Invalid (455371000124106^Invalid result^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200526
SolGent,DiaPlexQ Novel Coronavirus (2019-nCoV) Detection Kit*,SARS-CoV-2 RNA,"Nasal swab (445297001^Swab of internal nose^SCT)
Mid-turbinate nasal swabs(871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)
nasal and pharyngeal swab combination (433801000124107^Nasopharyngeal and oropharyngeal swab^SCT)
nasopharyngeal wash (258467004^Nasopharyngeal washings^SCT)
nasopharyngeal aspirate (258411007^Nasopharyngeal aspirate^SCT)
nasal aspirate (429931000124105^Nasal aspirate specimen^SCT)
BAL (258607008^Bronchoalveolar lavage fluid sample^SCT)
sputum (119334006^Sputum specimen^SCT)","Positive(260373001^Detected^SCT)
Negative (260415000^Not detected^SCT)
Inconclusive (419984006^Inconclusive^SCT)
Invalid (455371000124106^Invalid result^SCT)",94500-6,SARS coronavirus 2 RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200526
Southwest Regional PCR Laboratory LLC. dba MicroGen DX,LDT: COVID-19 Key Assay*,SARS-CoV-2 Result Interpretation,"nasopharyngeal swabs (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)
anterior nasal swabs (697989009^Anterior nares swab^SCT)
mid-turbinate nasal swabs (871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal awash/aspirate (258467004^Nasopharyngeal washings^SCT or 258411007^Nasopharyngeal aspirate^SCT)
nasal aspirates (429931000124105^Nasal aspirate specimen^SCT)
sputum specimens (119334006^Sputum specimen^SCT)","SARS-CoV-2 Detected (260373001^Detected^SCT)
Insufficient material (125154007^Specimen unsatisfactory for evaluation^SCT)
Inconclusive (419984006^Inconclusive^SCT)
SARS-CoV-2 Not Detected (260415000^Not Detected^SCT)
Invalid test (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with probe detection,,"Testing is limited to the Southwest Regional PCR Laboratory LLC. dba MicroGen DX located in Lubbock, TX",,LightCycler 480 Instrument II_Roche,MNI,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200728
Southwest Regional PCR Laboratory LLC. dba MicroGen DX,COVID-19 Key Assay*,SARS-CoV-2 Result Interpretation,"nasopharyngeal swabs (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)
anterior nasal swabs (697989009^Anterior nares swab^SCT)
mid-turbinate nasal swabs (871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal awash/aspirate (258467004^Nasopharyngeal washings^SCT or 258411007^Nasopharyngeal aspirate^SCT)
nasal aspirates (429931000124105^Nasal aspirate specimen^SCT)
sputum specimens (119334006^Sputum specimen^SCT)","SARS-CoV-2 Detected (260373001^Detected^SCT)
Insufficient material (125154007^Specimen unsatisfactory for evaluation^SCT)
Inconclusive (419984006^Inconclusive^SCT)
SARS-CoV-2 Not Detected (260415000^Not Detected^SCT)
Invalid test (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with probe detection,,"Testing is limited to the Southwest Regional PCR Laboratory LLC. dba MicroGen DX located in Lubbock, TX",,LightCycler 480 Instrument II_Roche,MNI,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200728
Specialty Diagnostic (SDI) Laboratories,LDT: SDI SARS-CoV-2 Assay*,,"nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swab (258529004^Throat swab^SCT)


","Positive 2019-NCoV (260373001^Detected^SCT)
Negative (260415000^Not detected^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94559-2,SARS coronavirus 2 ORF1ab region [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 ORF1ab region,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200519
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay*,,"nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swab (258529004^Throat swab^SCT)


","Positive 2019-NCoV (260373001^Detected^SCT)
Negative (260415000^Not detected^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94559-2,SARS coronavirus 2 ORF1ab region [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 ORF1ab region,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200519
Specialty Diagnostic (SDI) Laboratories,LDT: SDI SARS-CoV-2 Assay*,SARS-CoV-2 Report,"nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swab (258529004^Throat swab^SCT)


","Positive 2019-NCoV (260373001^Detected^SCT)
Negative (260415000^Not detected^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94559-2,SARS coronavirus 2 ORF1ab region [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 ORF1ab region,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200519
Specialty Diagnostic (SDI) Laboratories,SDI SARS-CoV-2 Assay*,SARS-CoV-2 Report,"nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swab (258529004^Throat swab^SCT)


","Positive 2019-NCoV (260373001^Detected^SCT)
Negative (260415000^Not detected^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94559-2,SARS coronavirus 2 ORF1ab region [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 ORF1ab region,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200519
Stanford Health Care Clinical Virology Laboratory,LDT: Stanford SARS-CoV-2 assay,Patient Sample,"Nasal swab (445297001^Swab of internal nose^SCT)
mid-turbinate nasal swab (871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swab (258529004^Throat swab^SCT)
BAL (258607008^Bronchoalveolar lavage fluid sample^SCT)","Detected(260373001^Detected^SCT)
Not detected (260415000^Not detected^SCT)
indeterminate (82334004^Indeterminate)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94758-0,SARS-related coronavirus E gene [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS-related coronavirus E gene,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200925
Stanford Health Care Clinical Virology Laboratory,Stanford SARS-CoV-2 assay,Patient Sample,"Nasal swab (445297001^Swab of internal nose^SCT)
mid-turbinate nasal swab (871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swab (258529004^Throat swab^SCT)
BAL (258607008^Bronchoalveolar lavage fluid sample^SCT)","Detected(260373001^Detected^SCT)
Not detected (260415000^Not detected^SCT)
indeterminate (82334004^Indeterminate)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94758-0,SARS-related coronavirus E gene [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS-related coronavirus E gene,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200925
"Sugentech, Inc.",SGTi-flex COVID-19 IgG*,IgG antibodies to SARS-CoV-2,"serum (119364003^Serum specimen^SCT)
venous whole blood (122555007^Venous blood specimen^SCT)
plasma (119361006^Plasma specimen^SCT)","Positive (10828004^Positive^SCT)
Negative (260385009^Negative^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94507-1,"SARS-CoV-2 (COVID-19) IgG Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay",,,,,,SARS coronavirus 2 Ab.IgG,PrThr,Pt,Ser/Plas/Bld,Ord,IA.rapid,20200916
"T2 Biosystems, Inc.",T2SARS-CoV-2 Panel*,SARS-CoV-2 Result Interpretation,"nasal swab (445297001^Swab of internal nose^SCT)
mid-turbinate swab (871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swab (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swab (258529004^Throat swab^SCT)
bronchoalveolar lavage specimen (258607008^Bronchoalveolar lavage fluid sample^SCT)","SARS-CoV-2 detected (260373001^Detected^SCT)
SARS-CoV-2 NOT detected (260415000^Not Detected^SCT)
Target results are invalid. The Internal Control is invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200909
TBG Biotechnology,ExProbeTM SARS-CoV-2 Testing Kit*,SARS-CoV-2 Result Interpretation,"nasal aspirate (429931000124105^Nasal aspirate specimen^SCT)
nasopharyngeal aspirate/wash (258411007^Nasopharyngeal aspirate^SCT or 258467004^Nasopharyngeal washings^SCT)
anterior nasal swabs (697989009^Anterior nares swab^SCT)
mid-turbinate nasal swabs (871810001^Mid-turbinate nasal swab^SCT)
nasopharyngeal swabs (258500001^Nasopharyngeal swab^SCT)
oropharyngeal swabs (258529004^Throat swab^SCT)
bronchoalveolar lavage (BAL) (258607008^Bronchoalveolar lavage fluid sample^SCT)","SARS-CoV-2 Positive (260373001^Detected^SCT)
Presumptive Positive (720735008^Presumptive positive^SCT)
SARS-CoV-2 Negative (260415000^Not detected^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94500-6,SARS-CoV-2 (COVID19) RNA [Presence] in Respiratory specimen by NAA with probe detection,,,,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20200617
TBG Biotechnology,TBG SARS-CoV-2 IgG / IgM Rapid Test Kit*,SARS-CoV-2 IgG,"serum (119364003^Serum specimen^SCT)
plasma (119361006^Plasma specimen^SCT)","Non-Reactive (260385009^Negative^SCT)
Reactive (10828004^Positive^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94507-1,"SARS-CoV-2 (COVID-19) IgG Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay",,Expect to be reported together with the Rapid IA result for IgM.,,,,SARS coronavirus 2 Ab.IgG,PrThr,Pt,Ser/Plas/Bld,Ord,IA.rapid,20200909
TBG Biotechnology,TBG SARS-CoV-2 IgG / IgM Rapid Test Kit*,SARS-CoV-2 IgM,"serum (119364003^Serum specimen^SCT)
plasma (119361006^Plasma specimen^SCT)","Non-Reactive (260385009^Negative^SCT)
Reactive (10828004^Positive^SCT)
Invalid (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)",94508-9,"SARS-CoV-2 (COVID-19) IgM Ab [Presence] in Serum, Plasma or Blood by Rapid immunoassay",,Expect to be reported together with the Rapid IA result for IgG.,,,,SARS coronavirus 2 Ab.IgM,PrThr,Pt,Ser/Plas/Bld,Ord,IA.rapid,20200909
"Tempus Labs, Inc.",LDT: iC SARS-CoV2 Test*,SARS-CoV-2 Result,"nasopharyngeal (NP) swab (258500001^Nasopharyngeal swab^SCT)
anterior nares (AN or nasal) swab (697989009^Anterior nares swab^SCT)
midturbinate nasal swab (871810001^Mid-turbinate nasal swab^SCT)
oropharyngeal (OP) swab (258529004^Throat swab^SCT)","N/A (455371000124106^Invalid result^SCT or 125154007^Specimen unsatisfactory for evaluation^SCT)
SARS-CoV-2 Not Detected (260415000^Not Detected^SCT)
SARS-CoV-2 Inconclusive (419984006^Inconclusive^SCT)
SARS-CoV-2 Detected (260373001^Detected^SCT)",94500-6,SARS-CoV-2 (COVID-19) RNA [Presence] in Respiratory specimen by NAA with probe detection,,"Testing is limited to Tempus Labs, Inc.’s laboratories located at 600 W Chicago Ave, Ste 510, Chicago, IL 60654 and 3155 Northwoods Place, Peachtree Corners, GA 30071",,,,SARS coronavirus 2 RNA,PrThr,Pt,Respiratory,Ord,Probe.amp.tar,20201005
